transaction_amount_usd,account_balance,outbound_transfers,unique_address_sent,ether_sent_out,ether_recv_in
8716.108783659372,4177637.6577313715,0,0,5063.18797,5191.057657834557
20325.4461020268,4153569.5483960477,0,0,24132.51964527,64.44
7563.3909099,4149701.781976048,0,0,6280.65277,2412.9
71626.771153539,4082020.2602991164,0,0,73633.40128171,5951.9
60563.7331631154,4066955.6471327287,0,0,40093.43372378,25028.86
68786.76410669759,4001424.147715809,0,0,69747.86248032,4216.4
34775.32529094571,3968481.2922723186,0,0,35167.82289349,2225.0
73078.49981846989,3893650.6011656485,0,0,75084.65960667,254.0
2882.47748792966,3890944.1924150484,0,0,2870.29359,163.8932393996421
30326.653298956495,3874651.1668687784,0,0,24107.90294627,7814.89
16700.831686079997,3857714.446050193,0,0,17166.699673,230.0
75482.75631990399,3790840.883493609,0,0,73164.53296832,6291.0
28724.3319416922,3767700.1880232287,0,0,26077.57170878,2936.905
5887.538612434058,3763073.7950097094,0,0,5286.691712,660.3169874283421
13286.2820007357,3761874.2825280796,0,0,7309.98686943,6110.5
67753.7613673935,3723846.098364114,0,0,51277.76177847,13249.63
110397.42278276429,3645584.852839504,0,0,84007.58326241,5746.419
51168.8526108617,3600809.5551279862,0,0,45028.71045209,253.46
133704.25054818278,3583131.036572656,0,0,66470.38495533,48791.9
96829.45334112542,3524981.9633249077,0,0,68758.69546346,10609.708914511668
46896.707853399996,3501203.807231717,0,0,31109.01447,7330.91
105426.93119312983,3422996.5333530465,0,0,79342.8934298701,1135.68
191833.7745865086,3321869.690266342,0,0,115812.95638538,14686.21
90898.5631007441,3262345.510535612,0,0,62936.71613193,3412.6
187496.8179884469,3233044.7646680316,0,0,75923.81486173,46623.125
136779.01865724864,3149222.9120820095,0,0,86319.644582629,2497.9
71200.25178213585,3108283.150013326,0,0,43890.9809092999,2951.29
432352.79833199363,2924036.1317960247,0,0,198614.29685095,14367.377204219312
353531.28063434997,2820535.767331705,0,0,135924.2398735,32423.989
411478.04792165,2734358.892627454,0,0,125383.97916866,39207.24
535889.7828148397,2686948.6761347977,0,0,140202.828084,92792.7296615825
521159.24669798,2509826.6106201746,0,0,196238.450619,19116.61
237860.085741075,2430006.12352904,0,0,86549.4249965,6729.04
342968.87877106114,2370793.454983318,0,0,100761.646632,41549.091447278464
229178.13977829332,2353364.0700744083,0,0,55870.64167831,38441.35
194994.85659717867,2343173.752276336,0,0,49412.13294022,39221.8927857703
196608.95946938745,2261075.100302688,0,0,86350.88712875,4252.32
112621.02748155002,2215768.479161381,0,0,45637.166319,330.6
91838.828006046,2204057.9293417376,0,0,24005.209311,12294.7227072
81634.43906375598,2179813.850748323,0,0,28004.191261,3760.1819155587527
238200.1280757862,2090444.8175437937,0,0,91026.90473766,1657.97
163720.07218232914,2031581.4834031402,0,0,61787.383678,2924.1073031577707
1207459.19045772,2298779.80921705,0,0,67643.97181924,334842.425
810681.10312608,2131941.783118972,0,0,211691.252888,44853.4
1475570.2321179868,2150659.3097020276,0,0,186860.58746724,205578.30405350114
1319103.9507061804,2051176.4561837912,0,0,201362.4345186622,101879.853
2840031.8615936697,1793726.900388662,0,0,351297.60931092,93848.4505
2750677.5906844167,1931691.3340635004,0,0,191992.68748654,329957.5194744499
1451686.0686477767,1683308.0176897808,0,0,263241.92942439,14858.85001005
482737.35574906395,1597571.7691698761,0,0,89285.10787482,3548.999
961164.2300837742,1540485.4083831073,0,0,120608.64856011,63522.43
2159076.79639568,1132926.1486988354,0,0,457788.58974016,50229.48
446630.1150349466,1074321.4643814967,0,0,87155.89268781,28551.391
