transaction_amount_usd,account_balace,historic_usd_val,inbound_transfers,unique_address_recv,token_contracts_count,unique_incoming_address
929858449.9082357,14662.26551465538,60290062.82,9177,8191,89,10875
1539321785.256902,18909.157118014467,73792796.57000001,10490,9268,91,11105
400556301.8218766,21996.325039771895,89935934.27,8087,7389,85,11151
229110877.93278277,16100.919775021976,66582294.550000004,7148,6614,91,11176
735539430.4736242,21843.605687568124,82679795.00999999,9051,8316,89,11134
563813481.6852608,18703.130030408156,72234854.74,8179,7571,104,11159
930590904.2122539,18141.10380474845,72930684.11999999,7844,6975,91,11059
780751046.570426,19372.603182462273,76657971.97,7180,6428,93,11024
634332941.4697938,4313.159460693507,16719401.94,7454,6655,86,10815
505292355.52336967,19517.568755680782,77327826.71,6732,5945,93,11087
168513930.70087177,18931.100780215424,74296051.57000001,6939,6234,92,11094
486001797.5807071,11731.712341678915,46288292.25999999,8496,7406,88,11097
590811522.2335815,16569.965043645614,66573148.55,8409,7562,87,11166
451190871.2228021,19446.168574977884,77448255.59,8693,7680,92,10635
1004261747.117623,4046.2763945625406,16639704.729999999,8259,7423,86,11106
