transaction_amount_usd,usd_eth,historic_usd_val,transaction_count_total,transaction_count_sent,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,ether_sent_out,ether_recv_in
7760402.818440405,285.27,858832.37,3346,2702,1.0054600329246426,1524,1492,32,32,1226,32,979,15811.20602927,11392.505606865609
9628801.278632976,296.5,724141.83,3919,3383,1.3971591071959815,1791,1770,21,20,1486,32,1359,16520.88794254,15953.989894333443
9677306.923601383,296.35,1725892.51,3003,2628,0.631467084360138,1241,1222,19,19,975,35,1167,14636.41429932,18018.57785050751
7890043.264620857,295.54,2022304.87,2656,2210,0.5069486575377506,1122,1111,11,11,894,38,951,13357.08703938,13339.953173859685
11690400.2207816,296.36,3319633.93,4058,2833,0.6404904609671863,1492,1432,60,60,1191,34,1211,17025.4079524,22421.211769497688
3965944.2804659833,293.35,1088318.98,2477,2428,0.39468864540482845,1244,1204,40,40,944,33,1030,10505.24521251,3014.25122678089
9849609.320313428,304.04,2284319.43,3143,2703,0.4222227153648025,1557,1537,20,20,1106,33,987,14296.04666879,18099.721389075497
8419848.00981412,306.8,1848101.4,2857,2732,0.6219292895051158,1404,1378,26,26,1092,37,1134,14984.72279904,12459.371105178128
7483239.858201449,303.64,748152.24,3194,2961,1.0138485258218164,1636,1624,12,12,1264,34,1158,13589.69674116,11055.40883847855
12831423.434449172,289.42,1808219.32,5181,4217,1.8475170511564893,2862,2657,205,204,1947,36,1268,20274.66026822,24060.297352017624
13566586.472143404,284.92,1570521.01,4669,4014,2.0176017982500714,2256,2175,81,81,1615,35,1526,24686.7725037,22928.65102621508
15515891.610383265,304.51,2502036.54,4532,3710,1.2264994371589604,1963,1945,18,18,1478,36,1407,23611.70386732,27341.931843767532
8458304.780469822,300.04,2414911.56,3301,2919,0.7285639680354641,1588,1561,27,27,1211,37,1174,14178.91441132,14011.676111509692
9800695.67666843,296.23,1861782.45,3216,3009,0.4851357761120741,1479,1457,22,22,1117,37,1295,17423.98776447,15660.76285723756
14776424.621603275,296.82,2251019.9,5150,3358,0.5800546827287337,1663,1620,43,42,1268,43,1501,24753.77332101,25028.669309551537
11043703.185703713,291.84,1387011.7,4560,3835,0.9258867007063624,1638,1566,72,72,1256,38,1868,19826.69985842,18014.936605751165
18846132.14591469,307.35,2080126.66,6115,4695,1.865701124047639,2061,1988,73,73,1593,40,2187,29650.49174244,31667.654169109337
20296978.042764615,319.66,2158238.27,5986,5565,2.883514939581815,3034,2522,512,510,1954,42,2468,32263.6820165,31231.838357536835
19052382.23260104,296.86,1433187.07,5491,5082,2.215440424290447,2515,2389,126,126,1788,44,2241,32541.48276492,31638.205413349355
15222942.781507552,314.23,2035131.47,4476,3928,2.08873143838477,1963,1939,24,24,1515,43,1676,23397.19521125,25048.028928735202
25601487.566187944,306.02,2704283.1,5703,4874,3.0668470949,2168,2105,63,63,1585,43,2163,40648.03739995,43011.48670366396
26241561.70594475,314.6,5476405.59,6414,4821,2.613979967194739,2334,2021,313,312,1622,44,2214,37928.81760796,45483.648081629144
24276832.079382867,334.72,5994627.64,8200,7542,5.041185894793788,4748,4345,403,401,3062,45,2654,35501.76001382,37027.016513972965
25126933.72185508,331.2,4807455.21,6670,6384,3.337260580286228,2761,2675,86,85,2066,47,2997,39628.5625552,36237.783223347964
32425714.31128646,330.32,4462074.78,7318,6597,3.001153513348292,2978,2900,78,77,2157,48,2933,50093.41383857,48071.13663153917
30832352.3744102,331.72,5171039.06,8223,6385,2.82452195238688,3267,3112,155,155,2258,48,2657,44924.75749374,48022.16272334126
22491024.538880266,346.65,7886563.44,5395,4739,1.8227120333657945,2478,2424,54,54,1819,50,1991,28858.51088688,36022.56379617284
15111021.388088457,354.6,5797230.49,5473,5367,2.3253362826990416,2891,2887,4,4,2140,50,2145,24507.04823011,18107.22528395784
27885625.375986297,367.71,4670472.94,7380,6969,3.7419302527299485,3739,3497,242,240,2524,54,2922,39739.65591231,36096.26200122593
33171312.40879972,360.52,4782086.86,8225,7431,4.468742473329479,4053,3792,261,259,2838,53,3082,46228.30726664,45781.324400950485
