transaction_amount_usd,account_balance,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,unique_incoming_address,ether_recv_in
11959064.440688828,6804.024277591,743,484,259,0.419849061,0,0,0,0,0,0,355,214,24459.307419605
12952544.474015746,5275.389131091,744,521,223,0.452575835,0,0,0,0,0,0,342,192,23715.316928335
10852781.491681736,5965.356891695,699,480,219,0.416761474,0,0,0,0,0,0,382,198,20447.402922078
14656539.829860171,6433.682605708,956,717,239,0.619101353,0,0,0,0,0,0,517,211,24949.557615366
14729407.738763409,5463.227477782,898,612,286,0.527819322,0,0,0,0,0,0,433,230,24456.460991396
11679217.378270783,6891.095768426,833,609,224,0.528400005,1,0,1,1,0,1,473,197,20291.805590649
12081869.982648533,6163.137818131,927,706,221,0.611162564,0,0,0,0,0,0,542,185,19157.118537568
16130963.220853416,6131.3545118,1039,817,222,0.706902156,0,0,0,0,0,0,591,187,26178.324770526
11846776.129944919,5055.061873473001,961,691,270,0.597861754,1,0,1,1,0,1,526,222,19431.770523427003
15994737.953656532,6296.937218113,1290,1058,232,0.913424609,0,0,0,0,0,0,809,203,27354.142669249002
24022679.02413806,6291.6329981769995,1715,1459,256,1.258030962,0,0,0,0,0,0,1139,212,41525.066595107004
49239987.883037694,343305.09469855565,1706,1419,287,1.224230719999965,1,0,1,1,0,1,1120,230,37986.359653473
18618676.04121645,10742.214372136,1823,1537,286,1.327072379,0,0,0,0,0,0,1179,254,31916.579217504
23493277.49410185,5010.820708361,2147,1818,329,1.566649934,0,0,0,0,0,0,1381,256,37278.066286158995
13094907.000084933,6148.8640317790005,845,598,247,0.521159815,0,0,0,0,0,0,471,223,22914.014683233
7575071.976569328,5669.3435733080005,783,537,246,0.466115511,0,0,0,0,0,0,434,226,12461.800757039999
17262588.290322203,9529.744355864,1169,795,374,0.687743348,0,0,0,0,0,0,601,274,28748.298325904
13812992.31606803,7750.492555126,1052,754,298,0.65266629,0,0,0,0,0,0,582,257,21150.130365552
27637626.241512552,14687.975669144,1345,1058,287,0.915209462,0,0,0,0,0,0,830,229,47006.73262348
22648323.982905317,6433.200094683,1268,992,276,0.856151135,0,0,0,0,0,0,812,246,30686.622406674
20354628.027184084,6993.207487688,1499,1195,304,1.033967233,0,0,0,0,0,0,964,268,31115.259859638
6929565.343656892,6477.391265736001,740,496,244,0.429579222,0,0,0,0,0,0,410,231,10151.43565727
13180559.227858456,5608.736035934,782,555,227,0.479933454,0,0,0,0,0,0,450,202,18510.029903651997
13367132.308185985,6110.729989881,974,699,275,0.602164991,0,0,0,0,0,0,556,251,19475.730418938
14028880.90015609,6120.625856782999,974,725,249,0.626152451,0,0,0,0,0,0,574,227,18843.559519353003
23794673.338648252,6970.322515261,1482,1188,294,1.033047603,0,0,0,0,0,0,916,263,31419.312306081
18812815.983128592,6495.772266265,1356,1092,264,0.942588688,0,0,0,0,0,0,884,232,23985.913939692
19424856.34283611,10438.180920953,979,673,306,0.58358129,0,0,0,0,0,0,486,242,26784.812175978
20163001.50020583,6003.454452684,994,694,300,0.607006066,0,0,0,0,0,0,475,229,26502.709946996998
27331854.666921865,5784.647533868,1087,778,309,0.676820169,0,0,0,0,0,0,473,270,38665.023001353
17614445.656480562,282.76352757,958,631,327,0.5495958289999999,0,0,0,0,0,0,416,298,26249.078689530998
35576297.13638809,308737.464195239,1105,692,413,0.903600117666655,0,0,0,0,0,0,429,315,42963.669629660006
38545075.78414826,8348.023700295,1969,1037,932,1.348585377,1,0,1,1,0,1,653,716,58863.279280892995
26124072.035485674,4191.573075259,1493,882,611,1.14492242,0,0,0,0,0,0,573,519,36870.482097384
39420036.50406384,819.3104107429999,1757,1103,654,1.438639372,0,0,0,0,0,0,715,539,62575.210874856006
56444115.31144139,235103.46388863833,698,459,239,0.59850020266662,1,0,1,1,0,1,366,232,57850.004078098
17839996.875175294,15066.905339316,955,473,482,0.617439194,0,0,0,0,0,0,333,438,31986.121879455
8065765.4104100065,8086.264087373,895,336,559,0.433224623,0,0,0,0,0,0,240,526,10045.330472680002
1806158.4973837726,12082.370623602,536,0,536,0.0,0,0,0,0,0,0,0,471,6141.307369546999
1631657.4390121945,17997.602058536,446,0,446,0.0,6,0,6,6,0,6,0,401,5915.231434934
10678587.43383544,22922.768949145997,931,392,539,0.5099224849999999,2,0,2,2,0,2,330,517,25318.237079777
50288782.56271177,216665.74203728867,3529,914,2615,1.190095950666655,1,0,1,1,0,1,779,2382,81727.027055514
52103986.13784433,120237.30599778467,1841,941,900,1.2215282969999648,0,0,0,0,0,0,725,796,54509.939173458
9700286.054631189,4867.875027123,941,664,277,0.858757634,0,0,0,0,0,0,517,232,18773.200312969
16330746.058871849,5988.947254554,1100,798,302,1.029938945,0,0,0,0,0,0,611,241,28004.915666376
8644486.202080945,5936.110106494,780,511,269,0.658787922,0,0,0,0,0,0,430,247,15246.854639862
8474548.067258744,5478.530161995,730,493,237,0.634585135,0,0,0,0,0,0,419,223,14714.657640636
5554921.946693428,5379.767855621,673,434,239,0.558291886,0,0,0,0,0,0,367,229,10725.856185512
2453597.5744458316,5208.480034699,594,364,230,0.468200681,0,0,0,0,0,0,317,223,4580.288779759
3268839.018100531,5585.78930568,522,330,192,0.424659125,0,0,0,0,0,0,268,181,5900.824430106
4544623.379716541,5066.794636811,471,277,194,0.358319246,0,0,0,0,0,0,232,185,7781.416750377
7297295.709199681,4929.664095404,611,392,219,0.505621802,0,0,0,0,0,0,319,204,12304.598980395
3276995.5607691663,5647.896586368,554,345,209,0.443523009,0,0,0,0,0,0,287,196,6035.951713973
7917032.41140983,4537.587440375,625,428,197,0.552913699,0,0,0,0,0,0,365,186,12215.764867706
5203090.414524332,5599.208069992999,732,513,219,0.669345985,0,0,0,0,0,0,396,206,8953.198648784
3679554.690218024,5983.303545462,521,321,200,0.416498423,0,0,0,0,0,0,278,184,6650.800200711
10240618.564102411,89996.123883743,549,369,180,0.47372878666665497,0,0,0,0,0,0,312,175,6725.937200401
2575509.625644196,5894.35946675,372,192,180,0.248215954,0,0,0,0,0,0,167,175,4378.231198961
1342106.8842044647,6035.056458702,348,168,180,0.21712157,0,0,0,0,0,0,145,177,2331.342613522
1334363.1434069448,6046.594127886,327,152,175,0.194718222,1,0,1,1,0,1,139,172,2292.222287406
1578375.8310509976,5170.802737609,305,127,178,0.162693222,0,0,0,0,0,0,114,174,2267.849102945
748242.289336703,4994.013108358,299,140,159,0.179352444,0,0,0,0,0,0,123,158,1179.945123193
2462747.268746328,5758.26159093,354,172,182,0.226506603,1,0,1,1,0,1,146,178,4375.924889175
1476647.6433204655,5504.756238797,348,167,181,0.220187796,3,0,3,1,0,1,145,180,2245.405935663
2018254.7638973363,6036.639418277,330,134,196,0.171657111,0,0,0,0,0,0,118,194,3356.214309772
1945470.5638785425,5708.618464012,341,170,171,0.218914055,0,0,0,0,0,0,152,170,3282.511886609
1262003.0775101562,5371.676818975,336,145,191,0.188267533,0,0,0,0,0,0,128,187,1945.814622496
1814269.188832465,6091.256408476,333,160,173,0.204969333,0,0,0,0,0,0,141,170,3355.119758834
1727330.6794562244,5579.463538704,389,198,191,0.257049852,0,0,0,0,0,0,171,188,2424.989453261
6771289.986546626,5115.720509572,541,346,195,0.450701062,3,0,3,3,0,3,271,186,9990.507598749
