transaction_amount_usd,usd_eth,historic_usd_val,eth_fee_used,ether_sent_out
12081869.982648533,309.32,1906381.79,0.189882,19902.3344
16130963.220853416,308.02,1888579.82,0.19114199999999998,26191.5318
11846776.129944919,296.62,1499432.46,0.23247,20507.4653
15994737.953656532,299.16,1883791.74,0.19975199999999999,26111.3539
24022679.02413806,286.52,1802678.6800000002,0.220416,42317.8729
49239987.883037694,301.38,103465289.45,0.245868,125395.3773
18618676.04121645,300.3,3225886.9800000004,0.24643500000000002,30083.674
23493277.49410185,292.62,1466266.3599999999,0.283269,43007.8933
13094907.000084933,293.02,1801740.14,0.212270671717545,21775.4502
7575071.976569328,298.2,1690598.26,0.211806,12940.8551
17262588.290322203,321.85,3067148.2199999997,0.32086717028370904,24887.2098
13812992.31606803,313.37,2428771.85,0.256137,22928.7295
27637626.241512552,317.4,4661963.470000001,0.25129879882527,40068.3343
22648323.982905317,325.28,2092591.32,0.237195,38940.54183
20354628.027184084,330.06,2308178.06,0.261303,30554.2184994
6929565.343656892,332.86,2156064.46,0.210084,10666.8223
13180559.227858456,347.88,1951167.0899999999,0.19544699999999998,19378.2052
13367132.308185985,347.66,2124456.39,0.236775,18973.1343
14028880.90015609,372.35,2279015.04,0.214389,18833.0375
23794673.338648252,383.86,2675628.0,0.252230962732917,30568.5826
18812815.983128592,388.33,2522503.25,0.227304,24459.5216
19424856.34283611,391.42,4085712.77,0.263466,22841.81994
20163001.50020583,351.03,2107392.61,0.2583,30936.8294092
27331854.666921865,352.45,2038799.0299999998,0.266049,38883.1531
17614445.656480562,303.7,85875.29,0.281547,31750.413099999998
35576297.13638809,317.94,98159989.38,0.526029703995453,68932.59109999999
38545075.78414826,338.92,2829312.19,1.1946991875,54865.8479
26124072.035485674,335.37,1405727.8599999999,0.782691,41025.7878
39420036.50406384,306.72,251298.89,0.83822025,65946.0349
56444115.31144139,303.79,71422081.3,0.3059161875,127949.7764
17839996.875175294,299.21,4508168.75,0.617442,27637.54335625
8065765.4104100065,297.95,2409302.39,0.716079,17025.538500000002
1806158.4973837726,294.1,3553425.2,0.686616,0.0
1631657.4390121945,275.84,4964458.55,0.571326,0.0
10678587.43383544,223.14,5114986.659999999,0.6904589999999999,22537.7611
50288782.56271177,259.57,56239926.67,3.3498150000000004,112011.7816
52103986.13784433,254.49,30599192.0,1.1529,150228.8959
9700286.054631189,258.4,1257858.91,0.354837,18766.6064
16330746.058871849,297.53,1781891.48,0.386862,26882.8135
8644486.202080945,283.0,1679919.16,0.344589,15299.033
8474548.067258744,283.56,1553492.01,0.303597,15171.603
5554921.946693428,257.77,1386742.76,0.306159,10824.0602
2453597.5744458316,262.94,1369517.74,0.29463,4751.1084
3268839.018100531,286.14,1598317.75,0.245952,5523.0905
4544623.379716541,282.6,1431876.16,0.248514,8300.0531
7297295.709199681,294.89,1453708.65,0.280539,12441.2239
3276995.5607691663,288.64,1630208.87,0.267729,5317.2757
7917032.41140983,309.97,1406515.98,0.252357,13325.5211
5203090.414524332,302.77,1695272.22,0.279279,8231.7616
3679554.690218024,292.58,1750594.95,0.2562,5925.4343
10240618.564102411,302.77,27248126.43,0.23058,27097.1581
2575509.625644196,303.95,1791590.56,0.23058,4095.2336
1342106.8842044647,296.81,1791265.11,0.23058,2190.4285
1334363.1434069448,291.81,1764456.63,0.224175,2280.4899
1578375.8310509976,291.68,1508219.74,0.228018,3143.4778
748242.289336703,294.99,1473183.93,0.202839,1356.5554
2462747.268746328,308.33,1775444.8,0.233142,3611.4499
1476647.6433204655,311.26,1713410.43,0.231861,2498.6911
2018254.7638973363,309.49,1868279.54,0.250236,3165.0134
1945470.5638785425,296.95,1695174.25,0.219051,3268.997
1262003.0775101562,298.46,1603230.66,0.244671,2282.568
1814269.188832465,302.86,1844797.92,0.221613,2635.3352
1727330.6794562244,302.89,1689963.71,0.243411,3277.8422
6771289.986546626,336.83,1723128.14,0.249795,10112.482
2834829.260554836,338.81,2042278.25,0.237426,3727.3749
1780765.6536683128,336.58,1888190.17,0.244671,2854.2084
1635668.7750334057,334.23,1747226.23,0.23058,2638.0027
2563005.624198253,316.14,1925442.31,0.226737,3622.055
2923476.503612828,313.54,1856845.6099999999,0.27029099999999995,4755.055689999999
2939186.152015452,307.41,3267779.79,0.242781,6063.86513
1916853.124165135,303.08,2670735.24,0.20349,4031.18213
885481.9670700779,299.55,1591862.33,0.20349,1728.7297
1017032.7950694489,294.03,2085189.54,0.19278,2294.4545
2321678.225143025,285.27,1644274.43,0.213129,4777.86031
3611739.158449032,296.5,1827606.96,0.197064,5530.77459
2898268.2885313164,296.35,1588042.83,0.207774,5292.49038
2541507.52687671,295.54,1722699.48,0.221697,4049.6137
2007148.8883171412,296.36,1704523.66,0.187425,3399.972
3033188.5952169215,293.35,28491722.619999997,0.18339300000000003,1869.2545
2928185.323087132,304.04,1564902.86,0.00924,5134.4893
4725764.19684499,306.8,1670421.25,0.01764,7593.1308
4053768.1806848147,303.64,1734892.97,0.021,6540.6544
2205283.1259571016,289.42,1808479.47,0.02142,3854.7511999999997
2397453.8389840284,284.92,1872965.11,0.014070000000000001,3939.6911999999998
1280168.616414222,304.51,1928297.66,0.015330000000000002,2290.1588
1370333.1038033776,300.04,1732441.87,0.00504,2323.5223
898146.910111398,296.23,1522777.36,0.01176,1832.6613
1305679.3479585066,296.82,1591815.96,0.0126,2088.2043
751033.7116392653,291.84,1574214.81,0.01722,1246.0306
4082816.082484611,307.35,1922844.6899999997,0.01512,6471.4662
3074201.98201025,319.66,1821337.48,0.01722,4984.3906
1899991.8065739048,296.86,1828497.4600000002,0.01218,2969.1481999999996
2453526.458460584,314.23,1717051.1800000002,0.019319999999999997,4251.4599
9224950.82619076,306.02,1980226.48,0.0273,14568.963800000001
3042283.828672517,314.6,1853253.0299999998,0.020159999999999997,5125.043
3582360.2067054417,334.72,2091387.77,0.027719999999999998,5172.4103
4258370.888601926,331.2,1877322.94,0.03066,6718.3897
5178965.7683748035,330.32,2095504.93,0.03444,7501.2684
4092942.1088236184,331.72,1917197.79,0.02814,6451.1923
3955122.594423475,346.65,2199675.9400000004,0.027299999999999998,5421.6047
1911678.1025387994,354.6,1958691.08,0.031079999999999997,3106.319
4674421.663564189,367.71,1940567.28,0.042839999999999996,6479.0179
7817207.057438403,360.52,2146670.17,0.0504,10502.712300000001
7680744.119560256,380.84,2225071.69,0.052079999999999994,10139.3896
15312008.12045024,406.57,2221203.81,0.03738,19019.8142
11168941.794502199,470.43,2594845.0999999996,0.03486,11844.3318
218.66776728000002,464.61,2562431.8000000003,0.00021,0.3714
262.843644,470.54,192146.83000000002,0.0,0.5586
1567958.951808,475.24,1227211.28,0.000105,3299.0492
512797.77774399996,466.27,690841.8400000001,0.0,1099.7872
1115.053296,427.42,328176.16000000003,0.0,2.6088
978.369015,434.85,332382.48,0.0,2.2499
711.248622,461.58,351588.79000000004,0.0,1.5409
475.912032,457.96,361770.67999999993,0.0,1.0392000000000001
590.360436,462.81,364646.05,0.0,1.2756
778.83924,466.93,366738.7200000001,0.0,1.668
5585880.785859906,453.96,6313818.970000001,0.143325,172.97770484999998
11272823.122575229,422.48,8523139.97,0.240135,9850.194453299999
10099454.529134722,421.15,3609334.140000001,0.28979999999999995,17791.2158118
4982492.351059891,451.74,4031732.73,0.420273,5336.4852403899995
3835717.5103696114,472.86,5467359.150000001,0.715361850003318,2736.3150779299995
2746069.0161256576,436.49,5332875.239999998,0.580712885760567,2817.22004453
9220912.299770702,513.29,1371106.4200000002,0.535528330008063,13753.70653299
17235052.788624972,656.52,5624872.460000001,0.6828992100000001,10175.989880289999
8714576.024340773,699.09,11890148.39,0.852789420000021,2011.3792151100001
130432759.85591014,693.58,142547610.15,1.147083977277735,45449.90654715
34333993.43170365,684.27,1644408.1100000008,0.819867597298079,30226.658521130008
23354254.85615317,692.83,9130624.180000002,1.7682525000004201,11368.8709733
11260573.714637263,717.71,7847263.699999999,0.92978256126021,8944.73817922
32165595.176899116,785.99,4716394.369999999,0.9831507556625999,22959.943134560002
34885794.885802105,812.5,158052909.62999997,1.295784670786368,25990.67796728
23771076.355725236,799.17,5079287.119999999,1.40742345408,14274.41158324
38136995.19384382,789.39,11427310.88,1.6813523999999997,20473.48742024
72554715.39378917,657.83,115621972.02000001,2.2089584684999997,68573.26386492999
28573333.808097247,700.44,21317093.860000003,1.491792399802656,13802.28508165
35350955.333706535,675.91,17842233.87,1.3962749429999999,28274.610810010003
63670165.93323435,723.14,8595191.240000002,1.228542,50848.12633317999
58474905.10435219,753.4,7855436.910000001,1.2201647925025019,38300.46736955
50932847.603565015,739.94,9521242.659999998,1.449169834506954,33193.19401644
60537898.5363747,716.69,7284213.0600000005,1.1761134,43974.36653896
60491345.52706108,739.6,118457071.29,1.484721,44664.030146410005
63421701.730628215,692.99,12362157.150000002,1.369798155220992,43629.378543800005
62797012.87045914,741.13,10862169.059999999,1.29259620126,43603.11423126
57066671.694233984,756.2,11806084.349999998,1.2866219213497438,37251.4078498
99737521.2353522,861.97,29736109.989999995,1.8119850000000004,48582.69549708
107033727.05458651,941.1,30472210.35,1.809680565,57685.67348806
108230517.3899779,944.83,29277515.540000003,1.7301257779281838,57965.383428090005
98460241.53948084,967.13,31784683.19,2.529403886697534,50193.35628924
106123059.16688208,1006.41,30233457.340000004,4.443796786069746,53893.95131673
130907950.38368213,1117.75,31058547.490000002,3.424521113960814,59679.3470594
124500729.62959602,1136.11,28832475.449999996,3.8184060448692057,55990.08278144999
159889074.93700704,1289.24,25701483.11,3.590811760744068,64723.567955989995
143773663.2356821,1248.99,39831888.52000001,4.27883746124016,53022.716961549995
153319993.15518233,1139.32,38061610.26,5.092352003824386,59609.52016629001
178225388.97911996,1261.03,24121344.290000003,3.215781380988288,77799.790529935
155400246.3808959,1385.02,41054019.81,3.0528708,57077.89189261
137646211.5825736,1359.48,36009539.61,3.140150268371886,52196.35972115
156692734.19367853,1278.69,35278685.28,3.00796860000042,56244.85075167
178001813.07513285,1050.26,51395595.79000001,2.8203735,74698.66377334001
204023360.45241067,1024.69,70169180.85,1.07394,93299.08409204
44169438.13181222,1012.97,39458093.06999999,0.28020300000000004,35387.9203530111
21244537.50011943,1037.36,9920566.500000002,0.034860833636832005,20428.912345678
10181925.0,1150.5,1631425.3000000003,0.0,8850.0
608825.1755834739,1049.09,8428245.83,0.0008421,569.83070092
4332.528727960001,999.64,739883.06,0.0033508124999999996,2.436189
25686.01744658,984.47,619682.0900000001,0.0021,0.946434
143154117.98917812,1061.78,199677715.06,0.1964235,52076.39003514
51821774.713126,1046.37,1593503.7199999997,0.086562,27313.35527954
53702.25021881199,1048.58,725710.76,0.08319359999999999,0.6148587
57092.830287471996,1109.08,820688.7300000001,0.1284822,0.6996867
2180380.8695718,1231.58,1231142.23,0.0,1770.39321
33020.514644920004,1169.96,981643.93,0.0026040000000000004,1.079211
60270.026749375,1063.75,845741.35,0.00441,6.3694245
36347.566716705,1111.31,896839.4800000001,0.002184,7.562539500000001
99196.7487071,1026.19,906755.04,0.0009450000000000001,6.66509
8298.7271681,917.47,789387.65,0.0,9.04523
3986.099502695,970.87,825372.92,0.0,4.1056985
3115.809811764,827.59,696069.8600000001,0.0,3.7649196000000003
1953.139316166,695.08,578325.44,0.0,2.80994895
