transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_transfers,outbound_transfers,unique_address_sent,unique_outgoing_address,ether_sent_out,ether_recv_in
197538395.34154844,2372.31,66615,63803,2812,55.580454206,1.3340942999999998,25466,18617,17031,42412,49451.810382120006,33816.56320377241
705118940.5221556,2233.57,66309,63514,2795,50.971175779,1.3206169200000002,24244,17835,16168,42577,152689.053575953,163002.3912957795
165729961.76915604,2166.61,55834,53029,2805,29.339022719000003,0.9265620000000001,20292,14350,13048,36093,43359.33361680072,33133.41854863561
275165399.2621931,2243.6,53203,50405,2798,33.204661008,1.05050001,19672,13202,12072,34830,53417.69728720814,69226.89143724948
460739711.97333014,1887.89,62556,59731,2825,99.465500655,2.658894,24396,17392,15636,39265,119907.66496710072,124142.41844524325
829763896.284084,1880.83,70314,67478,2836,220.369391845,4.3392468,28842,20648,18530,43617,225771.07514027352,215397.92805729568
434597460.9342687,1967.95,58838,56011,2827,46.527501101999995,1.3673898,23169,16488,14950,37140,114873.67794613648,105963.97592427116
326395834.3227751,1989.01,57811,55067,2744,40.247338111,1.153635,21912,15354,14040,37250,80539.26368380216,83560.38102526171
620967887.7766342,1810.27,63543,60766,2777,55.060041633999994,1.5098706,23087,16947,15389,41002,147759.4392499642,195265.57236522814
251929910.15560037,1830.94,55808,53020,2788,27.710326752,0.9173534999999999,21063,14583,13230,35869,59942.661136207986,77653.27873926601
165072400.1493852,1983.33,53506,50735,2771,55.37976941,1.1464917004281159,19666,12331,11154,35840,37824.753379469716,45405.16809067657
441465577.0980366,2083.8,59997,57155,2842,46.093508501,1.3890303,21209,14405,12931,39918,114445.73091581144,97410.29034248424
744807730.4562438,2165.61,67971,65135,2836,55.22765971,1.4544663,24639,17556,15876,44473,169422.67704648228,174502.46665725185
446719866.3959392,2276.14,62510,59690,2820,76.023458266,1.80037746,23035,16491,14905,40434,105181.62994844765,91080.40419529534
366335594.7558199,2109.29,62993,60194,2799,46.74490825,1.323441,23508,17390,15810,39918,99358.065455654,74319.14097675687
966364044.9074854,2155.65,61625,58813,2812,34.443182039,1.0041213,23433,17352,15784,38667,202836.38794777068,245457.18703308675
126914152.16911389,2227.18,56644,53867,2777,24.890706717999997,0.8034369,21652,15174,13782,35968,35420.61833613856,21563.618308009594
151813510.24844813,2323.27,55284,52515,2769,23.244862546999997,0.7710045000000001,20892,14158,12819,35706,31415.640608235077,33929.11495114808
256435418.27307826,2196.71,52485,49700,2785,33.512683493000004,1.024212,20304,13890,12346,33088,55573.12773254,61162.9996001886
371172961.62197226,2322.63,70386,67546,2840,116.570870081,3.196277700030639,21059,15231,13714,47087,97063.68457889014,62743.5002167821
519074866.0380427,2317.12,67298,64474,2824,84.602487266,2.4260019,22013,15561,13954,44779,103551.59466509803,120465.66211834122
334360418.41831136,2114.51,63935,61112,2823,77.721377441,2.27031924,20936,15012,13482,42288,71905.92554355512,86220.7413524687
366062329.0882489,2145.67,62953,60122,2831,56.397321068,1.6888851000000003,21526,15694,14163,40835,80565.85150265219,90039.28772577012
268321262.5928466,2110.47,54285,51465,2820,28.610050461,0.9897258,18216,13358,12078,35101,66353.33786790712,60784.81742112643
90080766.77710263,2140.45,50083,47288,2795,20.244276246,0.7810341000000001,17022,11600,10484,33014,29250.91318109,12834.05342738142
380183967.00166273,2032.88,55003,52154,2849,50.951922979,1.739932110025137,18958,13010,11675,35930,91278.40837597106,95739.00878670589
504157159.3593265,1940.61,60100,57266,2834,61.390140732,1.95926535,20530,14159,12706,39605,118568.00318252385,141225.13369677003
369219346.10254794,1994.22,64698,61850,2848,95.369174629,2.7699042,22103,15402,13929,42697,81187.06155424798,103957.67979953843
690250588.3305883,1918.17,65200,62403,2797,92.109822819,2.6327826,22397,16023,14497,42717,189777.2080550135,170071.28729763423
383698409.74826247,1877.05,63700,60854,2846,92.877713131,2.6051361,22320,16057,14615,41348,115699.3106286311,88716.34678500332
227072323.0870053,1899.96,55356,52520,2836,47.615051239,1.675051800030651,19074,13386,12230,36062,54727.77812495328,64786.486957998626
255952966.7984768,1891.96,49078,46326,2752,39.505436798000005,1.5049041,14661,10353,9495,33078,59936.13106846342,75348.4239953206
611498432.8181398,1818.6,53880,51097,2783,50.798386718,1.6908465,19654,13577,12156,34782,180579.67093370523,155667.13035197597
306605958.19849366,1786.52,64317,61597,2720,73.71438865300001,2.02165635,25336,16866,15236,41662,84921.917122663,86699.98366685721
388209074.95659846,1994.98,59924,57313,2611,47.25056855700001,1.3411377,22664,15915,14086,38465,84646.15757750956,109946.80824500418
213324540.8648092,2024.74,58339,55788,2551,66.790662382,1.6841369999999998,20454,14107,12689,38698,57657.90976864571,47701.0700829941
304528526.6454703,2125.57,60167,57612,2555,63.314021657,1.5388380000000002,22156,16263,14550,38346,69806.69219931168,73462.41991907082
192769764.36886904,2185.98,56894,54395,2499,43.06707409,1.1228385,20250,15209,13649,36283,45824.00707529385,42360.58947584982
172630050.9277016,2194.34,48769,46257,2512,32.193132378,1.0871931000000001,16897,12077,10671,31432,40385.58786997705,38285.01510299049
556416008.9811716,2228.67,64961,62357,2604,90.660470091,2.2314075,25373,17811,15558,41075,136507.6452137308,113155.16219210833
518340952.87409544,2301.98,58994,56361,2633,118.19687932299999,2.5053697200000005,22716,15120,13350,38320,109852.21109359949,115319.5770514302
455262209.19274414,2301.12,59950,57344,2606,84.00379163,2.1572796,23017,15979,14270,38206,94416.92874488141,103426.82090430861
540192370.7037299,2383.24,61960,59397,2563,65.216407097,1.72941006,24911,17031,15112,39397,109452.23848025902,117210.77938773997
470120459.44760484,2470.76,70901,68414,2487,90.800098527,2.0839686,28216,19046,16735,45341,109482.11117251095,80791.51291384498
838107014.978478,2531.75,65887,63356,2531,101.19118153600002,2.12758161,22369,15812,14291,43810,153530.5220162296,177508.0935573768
316445589.5805715,2556.41,60195,57644,2551,74.34352129499999,1.9945107000000002,20458,14429,13035,39963,63001.12927195921,60784.01848625307
355188958.2341499,2608.44,58739,56185,2554,95.249953503,2.4177216,20801,13928,12427,39254,72081.57513812666,64087.536757929935
530207035.0930821,2508.21,60746,58128,2618,91.58097470999999,2.6242902,21976,14474,12917,40486,100183.25738216261,111205.3564472544
673361681.7894167,2725.72,63254,60672,2582,92.50757416200001,2.481423,21983,15075,13262,42359,123958.59825712132,123081.33313326976
540022842.0596576,2829.23,61432,58848,2584,138.46983839278343,3.6497702134010463,20063,13604,12110,42304,101833.28487246018,89039.44094327683
468415225.03613895,2892.36,69861,67229,2632,124.61440429398584,3.029050484645892,24651,17246,15197,46465,76465.2919500417,85483.8516683664
331516177.01995754,3162.43,72201,69572,2629,114.99459293912565,3.0406131000000003,23011,16059,14328,49785,55710.27364090797,49119.29634797955
269478417.49974144,3013.75,63317,60631,2686,98.72859092649122,2.926641002440197,19930,13816,12422,43444,53992.2877096772,35424.02668260531
868276184.8813133,3164.94,67023,64362,2661,111.15170067274806,3.0896822707146896,21474,14421,12781,46715,126945.95245020429,147396.1156083729
489445610.43065697,3141.67,70788,68080,2708,126.72842554168886,3.5404545546801693,24187,16255,14326,48316,78522.02913251393,77269.5118092963
537510090.4410856,3168.24,77791,75103,2688,156.48748023701532,3.7051443747708177,30004,21025,18528,50310,84673.17642204976,84982.56002502673
340692324.64144963,3047.29,65671,62987,2684,110.66810719069498,3.1365409556194144,26360,17798,15935,42069,61126.51811789926,50675.22199920469
540609663.791633,3324.26,72183,69448,2735,135.54563698179055,3.374267882446587,27664,19647,17402,45821,80981.71917526904,81643.8467526767
513464207.6788573,3266.71,66178,63453,2725,99.82995364941709,2.847278130871146,24085,16965,15294,42994,73666.35929824838,83514.4763678675
