transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_tranfers,inbound_transfers,unique_address_recv,token_contracts_count,unique_outgoing_address,unique_incoming_address
53385.067852747285,1.24,40,23,17,0.02415,0.16393712737042315,0,0,0,0,17,11
117487.75494330205,1.23,63,28,35,0.0294,0.7168448917742778,0,0,0,0,18,28
1194733.0042593223,1.21,47,26,21,0.0273,0.31357355413107196,0,0,0,0,21,14
51881.36091080985,1.16,41,34,7,0.035744838776052,0.00771309585897966,0,0,0,0,21,6
117563.67231964313,0.98,53,43,10,0.04515,0.011101950253646029,0,0,0,0,30,10
33232.70757198714,1.04,18,13,5,0.01365,0.005403,0,0,0,0,12,3
18766.296612938033,0.94,29,21,8,0.02205,0.008774542770611977,0,0,0,0,17,7
46325.241128801885,0.87,50,34,16,0.0357,0.3083406380219798,0,0,0,0,19,13
103558.43367315378,0.94,34,20,14,0.021,0.23328911559830398,0,0,0,0,18,13
55400.090721246,0.9,38,15,23,0.01575,0.4369351516856853,0,0,0,0,11,18
27235.959138340797,0.89,45,33,12,0.03465,0.11023106513891283,0,0,0,0,19,10
59406.863250575385,0.85,35,19,16,0.01995,0.21146544978553525,0,0,0,0,12,10
11716.155378067999,0.89,16,7,9,0.00735,0.13108115679898166,0,0,0,0,6,5
3697.2776347155236,0.94,15,2,13,0.0021,0.13524819755461331,0,0,0,0,2,11
27105.764103973983,0.9,21,14,7,0.0147,0.05623275548621379,0,0,0,0,11,7
18748.51396288731,0.9,29,20,9,0.021,0.106805941946463,0,0,0,0,11,7
9799.721694359661,0.9,19,12,7,0.0126,0.080223238532768,0,0,0,0,9,6
117035.75730536504,0.81,50,36,14,0.037912451388651,0.2576565719590528,0,0,0,0,18,12
128288.42358240711,0.74,88,78,10,0.0819,0.18061929492012824,0,0,0,0,37,9
43231.96265609091,0.78,48,40,8,0.042157087888398,0.10560511804369066,0,0,0,0,20,7
70107.5317975429,0.72,46,36,10,0.037814153418867,0.10789859105865343,0,0,0,0,23,8
70052.1880125336,0.59,58,42,16,0.0441,0.2842993516580637,0,0,0,0,29,14
27495.28131570715,0.68,45,18,27,0.0189,0.5866980287512212,0,0,0,0,13,18
25962.430042029602,0.72,22,12,10,0.0126,0.13200639755461333,0,0,0,0,12,8
66104.68297519085,0.68,72,63,9,0.06615,0.1309257975546133,0,0,0,0,32,7
23464.804514024,0.68,29,16,13,0.017019165636522,0.25644859510922663,0,0,0,0,14,11
2503.5849255000003,0.69,26,14,12,0.01478350230378,0.23112791559830398,0,0,0,0,9,11
393.9690915837601,0.67,13,10,3,0.0105,0.0032418,0,0,0,0,9,3
22433.603103160203,0.63,22,18,4,0.0189,0.004509643142128044,0,0,0,0,16,3
58235.8704641604,0.66,31,19,12,0.01995,0.10992751804369065,0,0,0,0,15,9
18947.6273498,0.61,27,21,6,0.02205,0.079203838532768,0,0,0,0,16,6
37827.774194384,0.62,17,8,9,0.0084,0.058363886358900094,0,0,0,0,8,8
42234.99662425726,0.65,31,19,12,0.01995,0.15862154530747388,0,0,0,0,12,9
9330.97137777,0.63,14,9,5,0.00945,0.05388315902184533,0,0,0,0,9,4
10304.4225739581,0.63,16,7,9,0.00735,0.10668571804369066,0,0,0,0,7,9
81584.2617706053,0.63,18,5,13,0.00525,0.11100811804369065,0,0,0,0,5,9
39540.30829052724,0.6,20,15,5,0.01575,0.078123238532768,0,0,0,0,11,5
94821.44242511832,0.51,39,26,13,0.0273,0.2079684360873813,0,0,0,0,20,12
29132.901607600004,0.56,21,14,7,0.014716899268281,0.080284438532768,0,0,0,0,13,7
42691.09707492,0.53,22,12,10,0.0126,0.156246477065536,0,0,0,0,11,8
18719.869412524502,0.55,40,29,11,0.030539751442158,0.20595407961192666,0,0,0,0,22,10
