transaction_amount_usd,account_balance,transaction_count_recv,unique_incoming_address
651229206.9376153,599311.5062795936,90196,89040
403798122.2594438,334199.4652798212,43806,43561
432912898.9315314,201436.10982143917,1286,1092
1386713022.5449502,829692.337789869,167518,164689
466944644.6137391,381718.7034413305,20862,18972
401134552.5820021,774763.7725209862,20400,18967
440691790.9965785,315327.84995714866,18299,16748
521989777.9692971,297299.9895484752,13753,12347
941118922.8004279,915034.1850662827,46580,44594
453281736.8645431,918736.5407236543,39011,37309
526439613.001221,399897.27324965276,15950,13877
548425266.4477075,376716.7655147086,15078,13473
522694716.55523473,871412.1032254824,18159,16177
445890054.08824396,329639.6905948938,18946,17417
576161226.4320687,332500.8661548141,22231,19786
471951753.6491064,851832.1886179459,30884,28070
313939082.8569668,822117.1962601808,16087,14834
222958324.89437538,804038.5858806157,12256,11176
337766394.3359968,779143.1232570716,20421,18338
437485031.08846265,781483.9573286714,27867,25179
260533897.7785978,755309.4688697703,17902,16437
8269439.391106625,247545.99937631475,2055,1994
198049501.9816863,733648.4215672876,9718,8970
316758933.2216997,695034.735158453,13430,12266
365985086.0968432,858045.3059294876,37420,36503
223883037.23177382,845690.3728416145,20375,19431
264133408.2811017,316063.0348051226,12828,11880
254022446.5709763,320850.7631681563,14126,13162
224796767.5171998,287628.284518406,14122,13135
199036174.34434187,787081.9044224219,10365,9626
212161616.66644052,800061.0584066446,10255,9476
155940667.0178739,739361.429444516,7756,7065
193724580.1308811,225077.92412940448,7379,6832
241607305.5864392,177299.05629076593,7111,6567
162639023.71312052,170926.96105425083,9791,8872
166153603.32684484,652201.957102867,7202,6593
203049656.2741021,144640.9067888363,9853,8925
126463666.48163828,653761.7448744795,5960,5399
162052314.9069064,125470.0572770251,7490,6699
279919007.0087968,682512.8079112949,10062,9153
218076295.15354192,158069.59522716905,9598,8934
209190134.84750417,134476.54279107592,9316,8425
196739991.0669136,642680.6685495607,9024,8291
211739627.87819752,639808.5175351996,8920,8127
146599354.88180515,619969.0342388438,6864,6321
157694321.76857948,81772.14922908242,6178,5663
186701659.85539043,577136.2138224555,8211,7538
350706040.35527,691648.534800041,35042,34051
281731212.5009167,747781.3217775187,122792,121502
170202114.2826584,729721.9188729114,19863,18898
191063659.79968908,700505.6602650052,13712,12608
209946406.93536755,163305.05729733585,27273,26527
109715823.55342323,733705.8865058119,2680,2504
111323376.03736222,63340.09752470764,243,210
301750632.57062083,787901.1992303692,27890,26001
230709737.69821846,829607.4251884829,14253,13064
