transaction_amount_usd,account_balance,transaction_count_recv,token_contracts_count,unique_incoming_address,ether_sent_out,ether_recv_in
42647187.5823427,6389.967034029063,5031,56,4747,17585.38884665,19483.005401366252
31806715.823979422,5625.251777009148,3618,55,3459,15535.87833701,14782.507906286022
31188140.069107402,4532.98886741784,5955,56,5681,16140.82403798,15058.54780499087
28546335.663919047,5093.959123333168,2728,57,2554,14212.49465087,14784.159044945056
37107182.76105839,7452.592870354144,3045,58,2841,16288.83903876,18659.25073601292
36096311.510656215,6507.08417783163,4684,61,4376,17715.52158258,16781.177969830926
35589940.63456904,8445.483543807419,3579,62,3349,15996.12525453,17944.95757612579
41689725.21971394,10137.740413100406,3561,61,3208,17943.01655398,19646.449688052988
57213366.55018472,9226.089399685115,3507,60,3092,23677.4632237,22777.79469716971
51869109.47174457,10053.818878968867,3209,60,2834,21746.08949657,22587.99839681487
53586222.57802316,10335.375558159192,3706,60,3448,25039.83853756,25334.988797831924
39741481.87351826,8631.170650963839,4780,64,4510,18726.96901962,17033.963459632647
40303848.57190973,1435.4669319586544,4923,65,4715,23228.44078337,16046.789507228941
32809974.80361155,3231.9671997535593,2101,64,1935,16977.13512947,18784.224700945764
22016996.97235963,2005.3310981002892,2300,65,2161,11947.33133921,10730.263984942185
15396207.22672699,684.1133683131438,2533,69,2406,9958.70743651,8644.957695653256
28000376.926762905,3208.422967109832,10812,65,10229,18875.16253786,21408.51261717669
30302662.474444997,7094.565274895213,4682,70,4329,17352.97168271,21248.65437867138
22814391.240594618,4201.2364439308785,3453,72,3262,16614.84445547,13731.108964402865
20198362.06255724,5170.940937143005,3113,73,2983,11924.63845385,12902.799395768634
21840281.928140607,4389.830345213063,5012,71,4813,12825.04234937,12053.394257160058
22358693.41821949,3134.8948881510746,4120,75,3884,13762.31904964,12518.836893021762
15731066.16633937,2129.470374820907,3239,75,3121,10194.19823325,9197.185532761747
28733786.71738967,13460.951721331436,1900,79,1763,10933.8953512,22273.989722117774
17757555.053697936,11337.690332598073,1900,78,1745,11615.20351146,9500.108450415357
18894773.430905074,11955.827615245726,1800,80,1683,9954.60941124,10580.732483647651
19085164.989728853,10450.801243103133,1537,79,1444,11031.6982872,9535.320398859434
16867376.087084144,7448.969655293384,1500,81,1420,10487.82173326,7494.072135830365
19882132.31824449,7378.487971967285,1898,82,1776,10228.69189966,10168.050222322101
19212674.38941541,6340.255192749988,2200,82,2089,11026.14470239,9996.586875917703
18615437.94406228,6448.8005457037525,1500,84,1387,9845.47155773,9962.61103951224
21294413.75190998,4824.520307147154,2344,87,2200,12831.17780493,11216.177141214615
14062714.672423387,3689.7078337910566,1702,87,1609,8933.08965914,7806.24455395771
12788402.641115606,1873.5752654796675,1600,85,1538,8850.77964725,7042.739909708611
13137812.14176954,595.1539135596427,1602,88,1550,8321.37223935,7049.883337775938
12953966.020714171,1397.497231315574,5351,87,5230,7366.61506011,8175.222299323432
11576601.313475639,1169.8445011342576,5528,90,5363,6998.94074305,6778.135128654241
